species	genus	model	trait_category	marine_binary	binary_aquatic_endpoint	aquaticity_score	held_out_genus	corrected_globalFDR_OOF_prediction	nested_ttest_OOF_prediction	prediction_delta	nested_OOF_available	exclusion_reason	fold_n_candidate_features_FDR	fold_n_features_after_preprocessing	fold_n_selected_predictors	fold_model_status	panel	plot_color	source_file
Nannospalax_galili	Nannospalax	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Nannospalax	0.0143184057376246	0.0215484241420067	0.00723001840438209	TRUE		1216	1216	88	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Nasua_narica	Nasua	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Nasua	0.096119312533878	0.095765312038803	-0.000354000495075044	TRUE		1223	1223	97	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Neofelis_nebulosa	Neofelis	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Neofelis	0.164292154915004	0.163652852138338	-0.000639302776665712	TRUE		1238	1238	91	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Neomonachus_schauinslandi	Neomonachus	binary_aquatic_dependence_nested_ttest_baseline	marine	1	1	15	Neomonachus	0.0327574335791591	0.143927490970172	0.111170057391013	TRUE		1210	1210	69	fit_nonzero_predictors	Binary aquatic-dependence model	#2c7fb8	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Neophocaena_asiaeorientalis_asiaeorientalis	Neophocaena	binary_aquatic_dependence_nested_ttest_baseline	marine	1	1	18	Neophocaena	0.714326998554264	0.300951059167402	-0.413375939386862	TRUE		1203	1203	85	fit_nonzero_predictors	Binary aquatic-dependence model	#2c7fb8	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Neovison_vison	Neovison	binary_aquatic_dependence_nested_ttest_baseline	non-marine aquatic	0	1	9	Neovison	0.0682592599396052	0.0437982141519857	-0.0244610457876195	TRUE		1239	1239	59	fit_nonzero_predictors	Binary aquatic-dependence model	#d95f0e	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Noctilio_leporinus	Noctilio	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Noctilio	0.0370757757585649	0.0334544349613866	-0.00362134079717831	TRUE		1222	1222	88	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Nomascus_leucogenys	Nomascus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Nomascus	0.107570182902136	0.106746796945048	-0.000823385957087724	TRUE		1229	1229	101	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Nycticebus_coucang	Nycticebus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Nycticebus	0.050915991903174	0.0659009830379284	0.0149849911347544	TRUE		1222	1222	91	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ochotona_princeps	Ochotona	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Ochotona	0.0821007651968257	0.0821104993971904	9.73420036468053e-06	TRUE		1222	1222	99	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
