"target_name","display_label","branch_id","model","gene","gene_order","module","predictor_class","coefficient","scaled_GBI","contribution","abs_contribution","top_abs_rank","top_set"
"Otariidae","Otariidae","B393","marine","PUSL1",5,"Metabolism / redox / lipid handling","shared",-0.270477624990477,0.80871305536337,-0.218738786513476,0.218738786513476,9,"top_absolute"
"Otariidae","Otariidae","B393","marine","CATSPERZ",6,"Cilia / flagella / reproductive-cell function","shared",-0.264244206101874,-0.824579944169246,0.21789047271453,0.21789047271453,10,"top_absolute"
"Otariidae","Otariidae","B393","marine","TPX2",2,"DNA repair / chromatin / cell-cycle","marine_specific",-0.547364151458345,-0.394872691943337,0.216139155959637,0.216139155959637,11,"top_absolute"
"Otariidae","Otariidae","B393","marine","FN3K",11,"Metabolism / redox / lipid handling","shared",-0.217860441354345,0.948775487373491,-0.206700646425372,0.206700646425372,12,"top_absolute"
"Otariinae_sampled","Otariinae","B392","binary_aquatic_dependence","WDR93",2,"Cilia / flagella / reproductive-cell function","shared",-0.4793197990576,-1.95118120400594,0.935239782629095,0.935239782629095,1,"top_absolute"
"Otariinae_sampled","Otariinae","B392","binary_aquatic_dependence","NWD1",97,"Developmental / transcriptional signaling regulators","aquatic_specific",0.404558879261438,-2.18087531346393,-0.882292472623907,0.882292472623907,2,"top_absolute"
"Otariinae_sampled","Otariinae","B392","binary_aquatic_dependence","CACNA1G",99,"Ion channels / mechanosensation / membrane signaling","aquatic_specific",0.593854706123962,-1.36052119398748,-0.80795191383086,0.80795191383086,3,"top_absolute"
"Otariinae_sampled","Otariinae","B392","binary_aquatic_dependence","PDGFB",5,"Vascular / hematologic regulation","aquatic_specific",-0.348561123284862,1.90195349480841,-0.66294704658599,0.66294704658599,4,"top_absolute"
"Otariinae_sampled","Otariinae","B392","binary_aquatic_dependence","OMP",92,"Sensory systems","shared",0.231144543648012,2.28644775984868,0.528499924025243,0.528499924025243,5,"top_absolute"
"Otariinae_sampled","Otariinae","B392","binary_aquatic_dependence","PUSL1",6,"Metabolism / redox / lipid handling","shared",-0.314220898750119,-1.658852287477,0.521246056664714,0.521246056664714,6,"top_absolute"
"Otariinae_sampled","Otariinae","B392","binary_aquatic_dependence","SPEF2",85,"Cilia / flagella / reproductive-cell function","aquatic_specific",0.174059525751515,2.68340474849165,0.467072157921821,0.467072157921821,7,"top_absolute"
"Otariinae_sampled","Otariinae","B392","binary_aquatic_dependence","IL33",94,"Immune / inflammatory regulation","shared",0.340038935001018,-1.25231167496481,-0.425834728244375,0.425834728244375,8,"top_absolute"
"Otariinae_sampled","Otariinae","B392","binary_aquatic_dependence","ATF7IP2",1,"DNA repair / chromatin / cell-cycle","aquatic_specific",-0.581769927151342,-0.722605777014462,0.420390310252842,0.420390310252842,9,"top_absolute"
"Otariinae_sampled","Otariinae","B392","binary_aquatic_dependence","MEFV",36,"Immune / inflammatory regulation","aquatic_specific",-0.106234859098565,3.94063657235663,-0.41863297102296,0.41863297102296,10,"top_absolute"
